site_id,postcode,city,region,dso_name,dso_website
260120A,2381,Laab im Walde,Niederösterreich,"Netz Niederösterreich GmbH, Wiener Netze GmbH",
260022A,3353,Seitenstetten,Niederösterreich,Netz Niederösterreich GmbH,
700047A,5020,Salzburg,Salzburg,Salzburg Netz GmbH,
360103A,8051,Graz,Steiermark,"E-Werk Gösting Stromversorgungs GmbH, Energienetze Steiermark GmbH, Stromnetz Graz GmbH",
840417A,6060,Tulfes,Tirol,HALLAG Kommunal GmbH,
640129A,9500,Villach,Kärnten,KNG-Kärnten Netz GmbH,
400143C,8054,Graz,Steiermark,"Energienetze Steiermark GmbH, Stromnetz Graz GmbH",
440229A,8055,Graz,Steiermark,"Energienetze Steiermark GmbH, Stromnetz Graz GmbH",
740012A,5020,Salzburg,Salzburg,Salzburg Netz GmbH,
240001A,3100,Stattersdorf,Niederösterreich,Netz Niederösterreich GmbH,
960091A,6837,Weiler,Vorarlberg,Vorarlberger Energienetze GmbH,
240571A,3350,Haag,Niederösterreich,Netz Niederösterreich GmbH,
840263A,6306,Söll,Tirol,TINETZ-Tiroler Netze GmbH,
150099A,1110,Wien,Wien,Wiener Netze GmbH,
380008A,2651,Reichenau a.d. Rax,Niederösterreich,Netz Niederösterreich GmbH,
220039B,2345,Brunn am Gebirge,Niederösterreich,Wiener Netze GmbH,
380085A,4441,Behamberg,Oberösterreich,"Netz Niederösterreich GmbH, Netz Oberösterreich GmbH",
700034A,5020,Salzburg,Salzburg,Salzburg Netz GmbH,
800163A,6112,Wattens,Tirol,"Kraftwerk Haim KG, TINETZ-Tiroler Netze GmbH",
440309A,8052,Graz,Steiermark,"E-Werk Gösting Stromversorgungs GmbH, Energienetze Steiermark GmbH, Stromnetz Graz GmbH",
